"","Metabolite","Estimate","LCI","UCI","Pval"
"187","XS_VLDL_CE_.",0.0289958267594802,-0.0294557207948767,0.087447374313837,0.330837633264969
"188","XXL_VLDL_FC_.",-0.0305324260385934,-0.0920952623352308,0.031030410258044,0.330940887240872
"189","S_HDL_PL",0.027017638261602,-0.0319293571778997,0.0859646337011036,0.368931221718305
"190","S_VLDL_C",0.0266882833104065,-0.0315433193342999,0.084919885955113,0.368957471873629
"191","S_VLDL_P",-0.0260357463900127,-0.0843550162152186,0.0322835234351932,0.381494723736325
"192","XXL_VLDL_PL_.",-0.0271087558333735,-0.0884088801534,0.034191368486653,0.385989985011601
"193","XL_HDL_PL",0.0245097563787607,-0.0339550585811419,0.0829745713386633,0.4111877291714
"194","M_VLDL_CE",-0.0242901184199425,-0.0824738416757256,0.0338936048358407,0.413142644526315
"195","His",-0.0243159873431895,-0.0828358767978458,0.0342039021114668,0.41533452066549
"196","L_HDL_TG",0.02326225977273,-0.034920536521295,0.081445056066755,0.43318073482838
"197","ApoB",0.0229053416791413,-0.0351885743565053,0.080999257714788,0.439571829463596
"198","HDL_TG",-0.0214144107795504,-0.0798548765097664,0.0370260549506656,0.47255706661544
"199","Cit",0.0206701564746617,-0.037434386994971,0.0787746999442945,0.485571698594214
"200","Pyr",-0.0203241638660586,-0.0787825071925075,0.0381341794603904,0.495525265088808
"201","S_VLDL_L",-0.0201780804672926,-0.0785636699367727,0.0382075090021875,0.498094098914637
"202","FAw3.FA",0.019966815741993,-0.0384839621199107,0.0784175936038966,0.503080115225452
"203","Lac",-0.017701929022488,-0.0748339777704651,0.0394301197254891,0.543587387089377
"204","SFA",-0.0173523064562479,-0.075603193023249,0.0408985801107531,0.559243281766609
"205","IDL_CE_.",-0.0172080032447619,-0.074988778353122,0.0405727718635982,0.559340639426967
"206","HDL_D",0.0173800104688799,-0.0410953644561782,0.075855385393938,0.560127218310558
"207","FAw3",0.016746022249071,-0.0418420316393242,0.0753340761374662,0.575261267232619
"208","Gp",0.0166349240669015,-0.0416802077354183,0.0749500558692213,0.576020224336572
"209","Phe",-0.0140821770090417,-0.0722727000271873,0.0441083460091038,0.63520824734529
"210","XXL_VLDL_TG_.",0.0147910869182931,-0.0468403964582782,0.0764225702948645,0.63801455893768
"211","MUFA",-0.0138323437755335,-0.0721524269862164,0.0444877394351494,0.641961746590896
"212","L_VLDL_FC_.",-0.0134452544332916,-0.0726206397057077,0.0457301308391246,0.65601990056784
"213","S_VLDL_PL",-0.0130924012464405,-0.0714186633520311,0.04523386085915,0.659908765152553
"214","L_HDL_TG_.",-0.0127420884280866,-0.0712816295192815,0.0457974526631084,0.669593864748623
"215","M_HDL_CE_.",0.0125924355789676,-0.0460471435850774,0.0712320147430125,0.673773917425538
"216","VLDL_C",-0.0121733019467608,-0.0705384929253211,0.0461918890317995,0.682630897154418
"217","XL_HDL_FC_.",-0.0109514248791503,-0.0693602933437081,0.0474574435854076,0.713200535515388
"218","XS_VLDL_TG",-0.0103994371005107,-0.0689476668220017,0.0481487926209803,0.727686867319154
"219","XL_HDL_CE",-0.00936607942674808,-0.0676065002882005,0.0488743414347043,0.752562669458709
"220","ApoB.ApoA1",-0.00883608001689483,-0.0671658792497744,0.0494937192159848,0.766491865204412
"221","XL_HDL_L",0.00851272585980528,-0.049886828635197,0.0669122803548075,0.775063701808283
"222","S_VLDL_FC",-0.00840369330203138,-0.0667342069974639,0.0499268203934011,0.77761259103193
"223","XL_HDL_P",0.00578351484742728,-0.0525458082449847,0.0641128379398393,0.845880717783051
"224","XL_HDL_C",-0.00552399772632819,-0.0637998670745325,0.0527518716218761,0.852581808622855
"225","M_HDL_TG",0.00519069930439654,-0.0531848500898498,0.0635662486986429,0.861617845795108
"226","TotFA",0.0034070341186737,-0.0547591574815743,0.0615732257189217,0.908581712350424
"227","S_LDL_TG",0.00325872260431919,-0.054972782077093,0.0614902272857314,0.912642637717677
"228","XL_HDL_FC",0.0024831756469965,-0.0558424073553879,0.0608087586493809,0.933484159802207
